location,date,new_cases
United Kingdom,2020-01-31,2.0
United Kingdom,2020-02-01,0.0
United Kingdom,2020-02-02,0.0
United Kingdom,2020-02-03,6.0
United Kingdom,2020-02-04,0.0
United Kingdom,2020-02-05,1.0
United Kingdom,2020-02-06,0.0
United Kingdom,2020-02-07,0.0
United Kingdom,2020-02-08,4.0
United Kingdom,2020-02-09,1.0
United Kingdom,2020-02-10,0.0
United Kingdom,2020-02-11,1.0
United Kingdom,2020-02-12,1.0
United Kingdom,2020-02-13,1.0
United Kingdom,2020-02-14,1.0
United Kingdom,2020-02-15,0.0
United Kingdom,2020-02-16,0.0
United Kingdom,2020-02-17,1.0
United Kingdom,2020-02-18,0.0
United Kingdom,2020-02-19,1.0
United Kingdom,2020-02-20,2.0
United Kingdom,2020-02-21,1.0
United Kingdom,2020-02-22,0.0
United Kingdom,2020-02-23,5.0
United Kingdom,2020-02-24,2.0
United Kingdom,2020-02-25,4.0
United Kingdom,2020-02-26,3.0
United Kingdom,2020-02-27,7.0
United Kingdom,2020-02-28,12.0
United Kingdom,2020-02-29,5.0
United Kingdom,2020-03-01,33.0
United Kingdom,2020-03-02,40.0
United Kingdom,2020-03-03,55.0
United Kingdom,2020-03-04,57.0
United Kingdom,2020-03-05,49.0
United Kingdom,2020-03-06,79.0
United Kingdom,2020-03-07,55.0
United Kingdom,2020-03-08,54.0
United Kingdom,2020-03-09,147.0
United Kingdom,2020-03-10,259.0
United Kingdom,2020-03-11,412.0
United Kingdom,2020-03-12,489.0
United Kingdom,2020-03-13,480.0
United Kingdom,2020-03-14,364.0
United Kingdom,2020-03-15,443.0
United Kingdom,2020-03-16,615.0
United Kingdom,2020-03-17,770.0
United Kingdom,2020-03-18,1006.0
United Kingdom,2020-03-19,1066.0
United Kingdom,2020-03-20,1258.0
United Kingdom,2020-03-21,1215.0
United Kingdom,2020-03-22,1388.0
United Kingdom,2020-03-23,2349.0
United Kingdom,2020-03-24,2382.0
United Kingdom,2020-03-25,2717.0
United Kingdom,2020-03-26,3127.0
United Kingdom,2020-03-27,3249.0
United Kingdom,2020-03-28,2843.0
United Kingdom,2020-03-29,2892.0
United Kingdom,2020-03-30,4327.0
United Kingdom,2020-03-31,4534.0
United Kingdom,2020-04-01,4974.0
United Kingdom,2020-04-02,4929.0
United Kingdom,2020-04-03,4981.0
United Kingdom,2020-04-04,4073.0
United Kingdom,2020-04-05,3650.0
United Kingdom,2020-04-06,5316.0
United Kingdom,2020-04-07,5486.0
United Kingdom,2020-04-08,5163.0
United Kingdom,2020-04-09,4906.0
United Kingdom,2020-04-10,4367.0
United Kingdom,2020-04-11,3613.0
United Kingdom,2020-04-12,3539.0
United Kingdom,2020-04-13,4205.0
United Kingdom,2020-04-14,4348.0
United Kingdom,2020-04-15,5100.0
United Kingdom,2020-04-16,5343.0
United Kingdom,2020-04-17,4990.0
United Kingdom,2020-04-18,4736.0
United Kingdom,2020-04-19,3860.0
United Kingdom,2020-04-20,4866.0
United Kingdom,2020-04-21,4775.0
United Kingdom,2020-04-22,5505.0
United Kingdom,2020-04-23,5168.0
United Kingdom,2020-04-24,4981.0
United Kingdom,2020-04-25,3764.0
United Kingdom,2020-04-26,3473.0
United Kingdom,2020-04-27,4704.0
United Kingdom,2020-04-28,4727.0
United Kingdom,2020-04-29,5450.0
United Kingdom,2020-04-30,4964.0
United Kingdom,2020-05-01,4730.0
United Kingdom,2020-05-02,3230.0
United Kingdom,2020-05-03,2977.0
United Kingdom,2020-05-04,3383.0
United Kingdom,2020-05-05,3689.0
United Kingdom,2020-05-06,3836.0
United Kingdom,2020-05-07,3771.0
United Kingdom,2020-05-08,3052.0
United Kingdom,2020-05-09,2150.0
United Kingdom,2020-05-10,2322.0
United Kingdom,2020-05-11,3589.0
United Kingdom,2020-05-12,3395.0
United Kingdom,2020-05-13,3300.0
United Kingdom,2020-05-14,2618.0
United Kingdom,2020-05-15,2521.0
